file,mse,TP,FP,FN,TN,parameters,threshold_parameters,no_of_anomalies,first_label,length,first_label_ratio
art_load_balancer_spikes.csv,0.127668,0.0,0.0,1.0,3629.0,ar=2;d=0;ma=3;training_ratio=0.1125,comparision_window_size=10;threshold_max_multipler=2;training_ratio=0.0424140821459;,1.0,2735.0,4032.0,0.6779999999999999
ec2_cpu_utilization_24ae8d.csv,0.011003,2.0,88.0,0.0,3542.0,ar=4;d=0;ma=0;training_ratio=0.1125,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0424140821459;,2.0,3448.0,4032.0,0.855
ec2_cpu_utilization_53ea38.csv,,0.0,0.0,2.0,3630.0,ar=4;d=0;ma=4;training_ratio=0.1125,comparision_window_size=25;threshold_max_multipler=2;training_ratio=0.0424140821459;,2.0,1397.0,4032.0,0.34600000000000003
ec2_cpu_utilization_5f5533.csv,5.14238,0.0,0.0,2.0,3630.0,ar=3;d=0;ma=4;training_ratio=0.1125,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0424140821459;,2.0,1172.0,4032.0,0.29100000000000004
ec2_cpu_utilization_77c1ca.csv,195.834344,0.0,0.0,1.0,3629.0,ar=4;d=0;ma=4;training_ratio=0.1125,comparision_window_size=25;threshold_max_multipler=2;training_ratio=0.0424140821459;,1.0,1766.0,4032.0,0.438
ec2_cpu_utilization_825cc2.csv,10.743851,0.0,0.0,1.0,3689.0,ar=4;d=0;ma=3;training_ratio=0.1125,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0424140821459;,1.0,1527.0,4032.0,0.379
ec2_cpu_utilization_ac20cd.csv,7.2857759999999985,0.0,0.0,1.0,3629.0,ar=4;d=0;ma=0;training_ratio=0.1125,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0424140821459;,1.0,3375.0,4032.0,0.8370000000000001
ec2_cpu_utilization_c6585a.csv,0.007698,0.0,0.0,0.0,4032.0,ar=1;d=0;ma=2;training_ratio=0.1125,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0424140821459;,0.0,4032.0,4032.0,1.0
ec2_cpu_utilization_fe7f93.csv,60.219687,2.0,697.0,1.0,2930.0,ar=4;d=0;ma=4;training_ratio=0.1125,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0424140821459;,3.0,699.0,4032.0,0.173
ec2_disk_write_bytes_1ef3de.csv,1750506222409280.2,1.0,45.0,0.0,4212.0,ar=0;d=0;ma=2;training_ratio=0.1125,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0422820390662;,1.0,2400.0,4730.0,0.507
ec2_disk_write_bytes_c0d644.csv,5240870721000737.0,0.0,0.0,3.0,3627.0,ar=4;d=0;ma=4;training_ratio=0.1125,comparision_window_size=2;threshold_max_multipler=2;training_ratio=0.0424140821459;,3.0,1795.0,4032.0,0.445
ec2_network_in_257a54.csv,17112296864473.904,1.0,1.0,0.0,3628.0,ar=4;d=0;ma=4;training_ratio=0.1125,comparision_window_size=3;threshold_max_multipler=2;training_ratio=0.0424140821459;,1.0,1438.0,4032.0,0.35700000000000004
ec2_network_in_5abac7.csv,664461114368.9235,1.0,0.0,1.0,4256.0,ar=1;d=0;ma=2;training_ratio=0.1125,comparision_window_size=3;threshold_max_multipler=2;training_ratio=0.0422820390662;,2.0,2491.0,4730.0,0.527
elb_request_count_8c0756.csv,2895.8762460000007,0.0,0.0,2.0,3630.0,ar=1;d=0;ma=4;training_ratio=0.1125,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0424140821459;,2.0,684.0,4032.0,0.17
grok_asg_anomaly.csv,3.857713,0.0,0.0,3.0,4156.0,ar=4;d=0;ma=1;training_ratio=0.1125,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.0424549000488;,3.0,1178.0,4621.0,0.255
iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,1068925437897.948,2.0,18.0,0.0,1099.0,ar=1;d=0;ma=4;training_ratio=0.1125,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.0429800724638;,2.0,219.0,1243.0,0.17600000000000002
rds_cpu_utilization_cc0c53.csv,0.393977,1.0,0.0,1.0,3630.0,ar=4;d=0;ma=1;training_ratio=0.1125,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.0424140821459;,2.0,2981.0,4032.0,0.7390000000000001
rds_cpu_utilization_e47b3b.csv,1.984478,1.0,0.0,1.0,3630.0,ar=4;d=0;ma=4;training_ratio=0.1125,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.0424140821459;,2.0,847.0,4032.0,0.21
exchange-2_cpc_results.csv,0.000296,0.0,0.0,1.0,1461.0,ar=4;d=0;ma=3;training_ratio=0.1125,comparision_window_size=8;threshold_max_multipler=2;training_ratio=0.0427184466019;,1.0,245.0,1624.0,0.151
exchange-2_cpm_results.csv,0.010039,0.0,1.0,2.0,1461.0,ar=1;d=0;ma=4;training_ratio=0.1125,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0427184466019;,2.0,566.0,1624.0,0.349
exchange-3_cpc_results.csv,0.004226,1.0,0.0,2.0,1385.0,ar=2;d=0;ma=3;training_ratio=0.1125,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.0422710622711;,3.0,272.0,1538.0,0.177
exchange-3_cpm_results.csv,0.056186,1.0,0.0,0.0,1385.0,ar=1;d=0;ma=4;training_ratio=0.1125,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.0422710622711;,1.0,1046.0,1538.0,0.68
exchange-4_cpc_results.csv,0.01845,3.0,21.0,0.0,1457.0,ar=3;d=0;ma=1;training_ratio=0.1125,comparision_window_size=3;threshold_max_multipler=2;training_ratio=0.0428032899246;,3.0,341.0,1643.0,0.208
exchange-4_cpm_results.csv,0.625088,3.0,9.0,1.0,1470.0,ar=4;d=0;ma=3;training_ratio=0.1125,comparision_window_size=3;threshold_max_multipler=2;training_ratio=0.0428032899246;,4.0,348.0,1643.0,0.212
ambient_temperature_system_failure.csv,1.437605,0.0,0.0,2.0,6541.0,ar=4;d=0;ma=4;training_ratio=0.1125,comparision_window_size=3;threshold_max_multipler=2;training_ratio=0.0423333333333;,2.0,3541.0,7267.0,0.487
cpu_utilization_asg_misconfiguration.csv,158.74688600000005,0.0,0.0,1.0,16551.0,ar=4;d=0;ma=4;training_ratio=0.1125,comparision_window_size=3;threshold_max_multipler=2;training_ratio=0.042290886392;,1.0,16552.0,18050.0,0.917
ec2_request_latency_system_failure.csv,5.259851,0.0,0.0,3.0,3686.0,ar=3;d=0;ma=4;training_ratio=0.1125,comparision_window_size=3;threshold_max_multipler=2;training_ratio=0.0424140821459;,3.0,2015.0,4032.0,0.5
machine_temperature_system_failure.csv,1.42532,0.0,0.0,4.0,20427.0,ar=4;d=0;ma=4;training_ratio=0.06697499999999999,comparision_window_size=2;threshold_max_multipler=2;training_ratio=0.0239421987155;,4.0,2127.0,22695.0,0.094
nyc_taxi.csv,1339718.368491,2.0,0.0,3.0,9285.0,ar=4;d=0;ma=3;training_ratio=0.1125,comparision_window_size=2;threshold_max_multipler=2;training_ratio=0.0423580786026;,5.0,5840.0,10320.0,0.5660000000000001
rogue_agent_key_hold.csv,0.002189,0.0,0.0,2.0,1692.0,ar=2;d=0;ma=2;training_ratio=0.1125,comparision_window_size=10;threshold_max_multipler=2;training_ratio=0.0426690604428;,2.0,670.0,1882.0,0.35600000000000004
rogue_agent_key_updown.csv,31.220585,2.0,207.0,0.0,4578.0,ar=3;d=0;ma=4;training_ratio=0.1125,comparision_window_size=10;threshold_max_multipler=2;training_ratio=0.0424438321323;,2.0,2244.0,5315.0,0.422
TravelTime_387.csv,63147.587016,1.0,0.0,2.0,2251.0,ar=2;d=0;ma=4;training_ratio=0.1125,comparision_window_size=2;threshold_max_multipler=2;training_ratio=0.0423614240649;,3.0,388.0,2500.0,0.155
TravelTime_451.csv,65993.048429,0.0,0.0,1.0,1945.0,ar=4;d=0;ma=4;training_ratio=0.1125,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0423658155289;,1.0,439.0,2162.0,0.203
occupancy_6005.csv,5.585075,0.0,0.0,1.0,2141.0,ar=2;d=0;ma=2;training_ratio=0.1125,comparision_window_size=3;threshold_max_multipler=2;training_ratio=0.0425934690014;,1.0,1646.0,2380.0,0.6920000000000001
occupancy_t4013.csv,9.546809,2.0,0.0,0.0,2250.0,ar=4;d=0;ma=1;training_ratio=0.1125,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0423614240649;,2.0,2088.0,2500.0,0.835
speed_6005.csv,69.107179,0.0,0.0,1.0,2261.0,ar=4;d=0;ma=3;training_ratio=0.1125,comparision_window_size=15;threshold_max_multipler=2;training_ratio=0.0423614240649;,1.0,2262.0,2500.0,0.905
speed_7578.csv,44.715696,0.0,0.0,4.0,1011.0,ar=4;d=0;ma=1;training_ratio=0.1125,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.043006993007;,4.0,304.0,1127.0,0.27
speed_t4013.csv,17.033763,1.0,0.0,1.0,2245.0,ar=4;d=0;ma=3;training_ratio=0.1125,comparision_window_size=10;threshold_max_multipler=2;training_ratio=0.0425507900677;,2.0,2085.0,2495.0,0.836
Twitter_volume_AAPL.csv,29026.467792000003,4.0,157.0,0.0,14157.0,ar=4;d=0;ma=4;training_ratio=0.055575,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0196417870697;,4.0,1236.0,15902.0,0.078
Twitter_volume_AMZN.csv,580.938001,2.0,1.0,2.0,14250.0,ar=3;d=0;ma=4;training_ratio=0.08122499999999999,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0294926440258;,4.0,1797.0,15831.0,0.114
Twitter_volume_CRM.csv,10.481095,1.0,0.0,2.0,14309.0,ar=3;d=0;ma=3;training_ratio=0.1125,comparision_window_size=15;threshold_max_multipler=2;training_ratio=0.0423196825847;,3.0,2873.0,15902.0,0.181
Twitter_volume_CVS.csv,1.069021,3.0,6.0,0.0,14321.0,ar=4;d=0;ma=4;training_ratio=0.06555,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0233562845957;,3.0,1463.0,15853.0,0.092
Twitter_volume_FB.csv,227.63512000000003,2.0,44.0,0.0,14207.0,ar=4;d=0;ma=4;training_ratio=0.1125,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0422680045545;,2.0,4615.0,15833.0,0.29100000000000004
Twitter_volume_GOOG.csv,157.998317,2.0,0.0,1.0,14410.0,ar=3;d=0;ma=4;training_ratio=0.1125,comparision_window_size=10;threshold_max_multipler=2;training_ratio=0.0422688477952;,3.0,4107.0,15842.0,0.259
Twitter_volume_IBM.csv,20.045257,2.0,62.0,0.0,14241.0,ar=4;d=0;ma=2;training_ratio=0.1125,comparision_window_size=10;threshold_max_multipler=2;training_ratio=0.0423188714022;,2.0,6813.0,15893.0,0.429
Twitter_volume_KO.csv,591.359156,3.0,63.0,0.0,14201.0,ar=2;d=0;ma=3;training_ratio=0.1125,comparision_window_size=10;threshold_max_multipler=2;training_ratio=0.0422696900768;,3.0,5971.0,15851.0,0.377
Twitter_volume_PFE.csv,1.813555,4.0,3481.0,0.0,10789.0,ar=3;d=0;ma=0;training_ratio=0.042749999999999996,comparision_window_size=50;threshold_max_multipler=2;training_ratio=0.0148870298399;,4.0,951.0,15858.0,0.06
Twitter_volume_UPS.csv,115.58271,5.0,5414.0,0.0,8867.0,ar=3;d=0;ma=4;training_ratio=0.0463125,comparision_window_size=50;threshold_max_multipler=2;training_ratio=0.0161908538197;,5.0,1028.0,15866.0,0.065
