file,mse,parameters,
ec2_cpu_utilization_ac20cd.csv,427.782126,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
ec2_cpu_utilization_c6585a.csv,0.007512,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
ec2_cpu_utilization_fe7f93.csv,123.260797,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
ec2_disk_write_bytes_1ef3de.csv,1859964398029027.8,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
ec2_disk_write_bytes_c0d644.csv,6589418167701962.0,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
ec2_network_in_257a54.csv,23546931605382.734,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
ec2_network_in_5abac7.csv,683989292514.9307,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
elb_request_count_8c0756.csv,3152.232444,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
grok_asg_anomaly.csv,31.834311,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,28867409178444.152,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
rds_cpu_utilization_cc0c53.csv,23.487652,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
rds_cpu_utilization_e47b3b.csv,65.827914,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
exchange-2_cpc_results.csv,0.00099,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
exchange-2_cpm_results.csv,0.017468,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
exchange-3_cpc_results.csv,0.006004,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
exchange-3_cpm_results.csv,0.087283,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
exchange-4_cpc_results.csv,0.018229,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
exchange-4_cpm_results.csv,0.611578,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
ambient_temperature_system_failure.csv,19.7627,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
cpu_utilization_asg_misconfiguration.csv,261.35914,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
ec2_request_latency_system_failure.csv,5.712847,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
machine_temperature_system_failure.csv,17.751681,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
nyc_taxi.csv,48784499.215497,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
rogue_agent_key_hold.csv,0.003752,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
rogue_agent_key_updown.csv,31.607952,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
TravelTime_387.csv,148821.46288,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
TravelTime_451.csv,246165.795003,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
occupancy_6005.csv,6.233838,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
occupancy_t4013.csv,11.158727,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
speed_6005.csv,77.017112,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
speed_7578.csv,94.882918,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
speed_t4013.csv,37.788277,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
Twitter_volume_AAPL.csv,104382.433201,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
Twitter_volume_AMZN.csv,664.423823,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
Twitter_volume_CRM.csv,18.784729,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
Twitter_volume_CVS.csv,1.230498,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
Twitter_volume_FB.csv,281.979614,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
Twitter_volume_GOOG.csv,217.873638,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
Twitter_volume_IBM.csv,27.358457,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
Twitter_volume_KO.csv,623.458971,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
Twitter_volume_PFE.csv,1.874913,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
Twitter_volume_UPS.csv,389.124137,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
