timestamp,value
29-10-2016 10,2.43
29-10-2016 11,2.91
29-10-2016 12,3.38
29-10-2016 13,2.21
29-10-2016 14,3.31
29-10-2016 15,2.95
29-10-2016 16,3.28
29-10-2016 17,3.21
29-10-2016 18,3.25
29-10-2016 19,1.92
29-10-2016 20,1.95
29-10-2016 21,1.15
29-10-2016 22,1.89
29-10-2016 23,2.09
30-10-2016 0,0.65
30-10-2016 1,1.08
30-10-2016 2,1.31
30-10-2016 3,1.31
30-10-2016 4,0.69
30-10-2016 5,0.77
30-10-2016 6,1.94
30-10-2016 7,0.64
30-10-2016 8,4.5
30-10-2016 9,4.26
30-10-2016 10,3.73
30-10-2016 11,4.38
30-10-2016 12,1.74
30-10-2016 13,3.56
30-10-2016 14,3.53
30-10-2016 15,2.7
30-10-2016 16,1.82
30-10-2016 17,1.99
30-10-2016 18,2.35
30-10-2016 19,2.16
30-10-2016 20,2.3
30-10-2016 21,2.92
30-10-2016 22,2.73
30-10-2016 23,3.4
30-10-2016 24,1.95
31-10-2016 0,1
31-10-2016 1,0.79
31-10-2016 2,0.77
31-10-2016 3,1.15
31-10-2016 4,0.87
31-10-2016 5,1.08
31-10-2016 6,0.57
31-10-2016 7,5.04
31-10-2016 8,4.72
31-10-2016 9,4.08
31-10-2016 10,2.06
31-10-2016 11,3.83
31-10-2016 12,3.77
31-10-2016 13,3.46
31-10-2016 14,2.27
31-10-2016 15,2.33
31-10-2016 16,2.7
31-10-2016 17,2.81
31-10-2016 18,2.41
31-10-2016 19,3.42
31-10-2016 20,1.67
31-10-2016 21,3.66
31-10-2016 22,2.35
31-10-2016 23,0.59
01-11-2016 0,1.37
01-11-2016 1,0.52
01-11-2016 2,0.98
01-11-2016 3,0.26
01-11-2016 4,1.08
01-11-2016 5,0.91
01-11-2016 6,0.34
01-11-2016 7,4.51
01-11-2016 8,4.93
01-11-2016 9,3.77
01-11-2016 10,2.18
01-11-2016 11,3.36
01-11-2016 12,3.36
01-11-2016 13,2.18
01-11-2016 14,4.92
01-11-2016 15,1.91
01-11-2016 16,3.29
01-11-2016 17,2.12
01-11-2016 18,3.84
01-11-2016 19,1.78
01-11-2016 20,2.46
01-11-2016 21,3.99
01-11-2016 22,1.47
01-11-2016 23,0.64
02-11-2016 0,1.49
02-11-2016 1,0.64
02-11-2016 2,0.32
02-11-2016 3,0.89
02-11-2016 4,1.32
02-11-2016 5,1.37
02-11-2016 6,0.84
02-11-2016 7,4.95
02-11-2016 8,4.81
02-11-2016 9,4.23
02-11-2016 10,4.28
02-11-2016 11,2.37
02-11-2016 12,3.43
02-11-2016 13,3.93
02-11-2016 14,1.8
02-11-2016 15,2.18
02-11-2016 16,4
02-11-2016 17,2.33
02-11-2016 18,2.98
02-11-2016 19,3.73
02-11-2016 20,3.12
02-11-2016 21,4.27
02-11-2016 22,3.19
02-11-2016 23,0.58
03-11-2016 0,0.55
03-11-2016 1,1.89
03-11-2016 2,0.89
03-11-2016 3,0.87
03-11-2016 4,1.01
03-11-2016 5,2.16
03-11-2016 6,0.68
03-11-2016 7,4.67
03-11-2016 8,5.34
03-11-2016 9,5.87
03-11-2016 10,3.19
03-11-2016 11,2.22
03-11-2016 12,4.2
03-11-2016 13,3.26
03-11-2016 14,1.95
03-11-2016 15,2.78
03-11-2016 16,2.86
03-11-2016 17,4.88
03-11-2016 18,6
03-11-2016 19,2.59
03-11-2016 20,3.67
03-11-2016 21,1.96
03-11-2016 22,2.03
03-11-2016 23,2.15
04-11-2016 0,1.06
04-11-2016 1,1.09
04-11-2016 2,0.67
04-11-2016 3,1.34
04-11-2016 4,1.52
04-11-2016 5,0.97
04-11-2016 6,1.11
04-11-2016 7,4.44
04-11-2016 8,6.18
04-11-2016 9,4.34
04-11-2016 10,3.08
04-11-2016 11,3.57
04-11-2016 12,2.84
04-11-2016 13,4.06
04-11-2016 14,3.6
04-11-2016 15,4.21
04-11-2016 16,4.24
04-11-2016 17,2.72
04-11-2016 18,4.78
04-11-2016 19,2.3
04-11-2016 20,5.26
04-11-2016 21,4.42
04-11-2016 22,1.75
04-11-2016 23,0.89
05-11-2016 0,1.43
05-11-2016 1,0.47
05-11-2016 2,1.64
05-11-2016 3,1.37
05-11-2016 4,1.25
05-11-2016 5,0.6
05-11-2016 6,1.82
05-11-2016 7,4.75
05-11-2016 8,5.27
05-11-2016 9,4.86
05-11-2016 10,5.64
05-11-2016 11,3.06
05-11-2016 12,4.73
05-11-2016 13,2.3
05-11-2016 14,2.55
05-11-2016 15,3.08
05-11-2016 16,3.75
05-11-2016 17,3.91
05-11-2016 18,3.34
05-11-2016 19,4.8
05-11-2016 20,3.75
05-11-2016 21,3.08
05-11-2016 22,5.17
05-11-2016 23,0.75
06-11-2016 0,1.14
06-11-2016 1,1.78
06-11-2016 2,2.45
06-11-2016 3,1.19
06-11-2016 4,1.17
06-11-2016 5,1.3
06-11-2016 6,1.94
06-11-2016 7,6.45
06-11-2016 8,5.78
06-11-2016 9,5.81
06-11-2016 10,5.48
06-11-2016 11,7.51
06-11-2016 12,7.26
06-11-2016 13,6.5
06-11-2016 14,6.51
06-11-2016 15,5.61
06-11-2016 16,5.05
06-11-2016 17,4.4
06-11-2016 18,3.16
06-11-2016 19,3.9
06-11-2016 20,4.73
06-11-2016 21,4.63
06-11-2016 22,4.11
06-11-2016 23,2.04
07-11-2016 0,2.56
07-11-2016 1,1.47
07-11-2016 2,1.6
07-11-2016 3,1.5
07-11-2016 4,1.7
07-11-2016 5,1.32
07-11-2016 6,2.43
07-11-2016 7,5.24
07-11-2016 8,5.03
07-11-2016 9,6.31
07-11-2016 10,4.86
07-11-2016 11,3.32
07-11-2016 12,5.36
07-11-2016 13,3.82
07-11-2016 14,4.81
07-11-2016 15,4.62
07-11-2016 16,3.07
07-11-2016 17,5.73
07-11-2016 18,5.34
07-11-2016 19,5.5
07-11-2016 20,5.61
07-11-2016 21,6.15
07-11-2016 22,4.15
07-11-2016 23,1.87
08-11-2016 0,2.44
08-11-2016 1,0.98
08-11-2016 2,1.97
08-11-2016 3,1.68
08-11-2016 4,1.67
08-11-2016 5,1.03
08-11-2016 6,1.67
08-11-2016 7,6.04
08-11-2016 8,4.98
08-11-2016 9,5.56
08-11-2016 10,5.62
08-11-2016 11,5.23
08-11-2016 12,5.35
08-11-2016 13,4.69
08-11-2016 14,4.79
08-11-2016 15,3.59
08-11-2016 16,4.22
08-11-2016 17,4.4
08-11-2016 18,7.05
08-11-2016 19,4.66
08-11-2016 20,4.37
08-11-2016 21,3.61
08-11-2016 22,3.25
08-11-2016 23,2.34
09-11-2016 0,2.07
09-11-2016 1,0.57
09-11-2016 2,1.86
09-11-2016 3,1.34
09-11-2016 4,1.36
09-11-2016 5,1.33
09-11-2016 6,1.4
09-11-2016 7,4.92
09-11-2016 8,5.58
09-11-2016 9,7.04
09-11-2016 10,5.74
09-11-2016 11,4.54
09-11-2016 12,4.37
09-11-2016 13,3.04
09-11-2016 14,3.72
09-11-2016 15,5.71
09-11-2016 16,3.37
09-11-2016 17,4.76
09-11-2016 18,4.32
09-11-2016 19,6.05
09-11-2016 20,3.45
09-11-2016 21,3.98
09-11-2016 22,4.05
09-11-2016 23,1.5
10-11-2016 0,1.94
10-11-2016 1,1.53
10-11-2016 2,2.67
10-11-2016 3,1.56
10-11-2016 4,1.14
10-11-2016 5,1.69
10-11-2016 6,1.39
10-11-2016 7,5.76
10-11-2016 8,5.48
10-11-2016 9,5.81
10-11-2016 10,6.56
10-11-2016 11,4.2
10-11-2016 12,3.14
10-11-2016 13,4.25
10-11-2016 14,3
10-11-2016 15,3.34
10-11-2016 16,4.12
10-11-2016 17,3.26
10-11-2016 18,4.8
10-11-2016 19,3.53
10-11-2016 20,4.45
10-11-2016 21,3.11
10-11-2016 22,3.19
10-11-2016 23,1.04
11-11-2016 0,1.51
11-11-2016 1,1.17
11-11-2016 2,1.45
11-11-2016 3,1.45
11-11-2016 4,1.6
11-11-2016 5,0.67
11-11-2016 6,1.14
11-11-2016 7,5.15
11-11-2016 8,5.23
11-11-2016 9,6.16
11-11-2016 10,4.97
11-11-2016 11,3.32
11-11-2016 12,3.86
11-11-2016 13,2.46
11-11-2016 14,3.66
11-11-2016 15,3.74
11-11-2016 16,3.16
11-11-2016 17,2.06
11-11-2016 18,4.13
11-11-2016 19,3.88
11-11-2016 20,3.09
11-11-2016 21,2.2
11-11-2016 22,3.76
11-11-2016 23,0.98
12-11-2016 0,1
12-11-2016 1,0.49
12-11-2016 2,0.81
12-11-2016 3,2.24
12-11-2016 4,0.85
12-11-2016 5,0.71
12-11-2016 6,1.35
12-11-2016 7,4.54
12-11-2016 8,4.39
12-11-2016 9,6.04
12-11-2016 10,4.26
12-11-2016 11,2.98
12-11-2016 12,2.76
12-11-2016 13,2.99
12-11-2016 14,4
12-11-2016 15,2.22
12-11-2016 16,3.83
12-11-2016 17,3.78
12-11-2016 18,3.68
12-11-2016 19,4.86
12-11-2016 20,2.35
12-11-2016 21,3.35
12-11-2016 22,2.28
12-11-2016 23,1.12
13-11-2016 0,1.23
13-11-2016 1,1.52
13-11-2016 2,1.49
13-11-2016 3,0.67
13-11-2016 4,1.28
13-11-2016 5,1.35
13-11-2016 6,1.35
13-11-2016 7,5.73
13-11-2016 8,4.49
13-11-2016 9,4.26
13-11-2016 10,3.53
13-11-2016 11,3.82
13-11-2016 12,3.49
13-11-2016 13,4.28
13-11-2016 14,3.14
13-11-2016 15,2.37
13-11-2016 16,2.58
13-11-2016 17,2.22
13-11-2016 18,3.4
13-11-2016 19,2.57
13-11-2016 20,3.3
13-11-2016 21,3.05
13-11-2016 22,2.68
13-11-2016 23,2.21
14-11-2016 0,1.21
14-11-2016 1,0.69
14-11-2016 2,0.67
14-11-2016 3,1.61
14-11-2016 4,0.99
14-11-2016 5,1.3
14-11-2016 6,1.65
14-11-2016 7,4.27
14-11-2016 8,5.39
14-11-2016 9,3.63
14-11-2016 10,2.73
14-11-2016 11,4.14
14-11-2016 12,2.16
14-11-2016 13,2.75
14-11-2016 14,2.32
14-11-2016 15,1.3
14-11-2016 16,2.37
14-11-2016 17,1.95
14-11-2016 18,2.76
14-11-2016 19,1.72
14-11-2016 20,2.08
14-11-2016 21,2.24
14-11-2016 22,1.5
14-11-2016 23,1.01
15-11-2016 0,0.85
15-11-2016 1,0.26
15-11-2016 2,1.45
15-11-2016 3,0.67
15-11-2016 4,0.55
15-11-2016 5,0.93
15-11-2016 6,0.65
15-11-2016 7,4.61
15-11-2016 8,3.88
15-11-2016 9,3.07
15-11-2016 10,0.79
15-11-2016 11,2.7
15-11-2016 12,1.91
15-11-2016 13,1.34
15-11-2016 14,1.44
15-11-2016 15,1.79
15-11-2016 16,2.15
15-11-2016 17,3.05
15-11-2016 18,2.16
15-11-2016 19,2.28
15-11-2016 20,1.96
15-11-2016 21,2.67
15-11-2016 22,1.85
15-11-2016 23,1.11
16-11-2016 0,0.58
16-11-2016 1,1.02
16-11-2016 2,1.32
16-11-2016 3,0.57
16-11-2016 4,1.06
16-11-2016 5,0.66
16-11-2016 6,0.57
16-11-2016 7,5.23
16-11-2016 8,4.36
16-11-2016 9,3.39
16-11-2016 10,1.65
16-11-2016 11,3.24
16-11-2016 12,2.36
16-11-2016 13,4.74
16-11-2016 14,3.53
16-11-2016 15,2.74
16-11-2016 16,2.23
16-11-2016 17,3.4
16-11-2016 18,3.4
16-11-2016 19,2.99
16-11-2016 20,1.72
16-11-2016 21,2.78
16-11-2016 22,2.22
16-11-2016 23,1.43
17-11-2016 0,1.65
17-11-2016 1,2.1
17-11-2016 2,0.66
17-11-2016 3,0.65
17-11-2016 4,1.33
17-11-2016 5,2.07
17-11-2016 6,0.57
17-11-2016 7,3.83
17-11-2016 8,5.13
17-11-2016 9,4.64
17-11-2016 10,3.05
17-11-2016 11,3.75
17-11-2016 12,2.08
17-11-2016 13,2.72
17-11-2016 14,1.67
17-11-2016 15,3.77
17-11-2016 16,3.91
17-11-2016 17,2.7
17-11-2016 18,3.71
17-11-2016 19,3.56
17-11-2016 20,3.25
17-11-2016 21,2.32
17-11-2016 22,1.72
17-11-2016 23,2.04
18-11-2016 0,1.51
18-11-2016 1,0.93
18-11-2016 2,0.99
18-11-2016 3,0.64
18-11-2016 4,1.76
18-11-2016 5,0.63
18-11-2016 6,1.52
18-11-2016 7,4.91
18-11-2016 8,4.09
18-11-2016 9,5.05
18-11-2016 10,2.73
18-11-2016 11,4.03
18-11-2016 12,2.31
18-11-2016 13,3.16
18-11-2016 14,3.79
18-11-2016 15,3.92
18-11-2016 16,3.13
18-11-2016 17,1.88
18-11-2016 18,4.12
18-11-2016 19,2.53
18-11-2016 20,1.61
18-11-2016 21,2.32
18-11-2016 22,1.36
18-11-2016 23,0.19
19-11-2016 0,0.37
19-11-2016 1,1.88
19-11-2016 2,0.69
19-11-2016 3,0.59
19-11-2016 4,1.11
19-11-2016 5,0.5
19-11-2016 6,1.88
19-11-2016 7,4.37
19-11-2016 8,4.86
19-11-2016 9,4.32
19-11-2016 10,3.52
19-11-2016 11,2.46
19-11-2016 12,3.37
19-11-2016 13,3.15
19-11-2016 14,1.76
19-11-2016 15,3.47
19-11-2016 16,2.13
19-11-2016 17,2.56
19-11-2016 18,3.84
19-11-2016 19,3.32
19-11-2016 20,2.41
19-11-2016 21,4.79
19-11-2016 22,3.45
19-11-2016 23,0.95
20-11-2016 0,0.64
20-11-2016 1,1.07
20-11-2016 2,2.21
20-11-2016 3,0.89
20-11-2016 4,1.6
20-11-2016 5,0.87
20-11-2016 6,2.1
20-11-2016 7,4.33
20-11-2016 8,5.01
20-11-2016 9,5.21
20-11-2016 10,4.38
20-11-2016 11,3.85
20-11-2016 12,4.24
20-11-2016 13,2.32
20-11-2016 14,4.52
20-11-2016 15,3.76
20-11-2016 16,2.89
20-11-2016 17,4.37
20-11-2016 18,3.03
20-11-2016 19,4.18
20-11-2016 20,2.49
20-11-2016 21,4.14
20-11-2016 22,2.64
20-11-2016 23,1.42
21-11-2016 0,1.07
21-11-2016 1,1.22
21-11-2016 2,0.53
21-11-2016 3,0.59
21-11-2016 4,0.55
21-11-2016 5,1.32
21-11-2016 6,0.63
21-11-2016 7,4.25
21-11-2016 8,4.39
21-11-2016 9,5.06
21-11-2016 10,3.09
21-11-2016 11,2.61
21-11-2016 12,3.41
21-11-2016 13,2.48
21-11-2016 14,4.23
21-11-2016 15,2.33
21-11-2016 16,1.86
21-11-2016 17,3.83
21-11-2016 18,2.94
21-11-2016 19,3.01
21-11-2016 20,3.4
21-11-2016 21,3.6
21-11-2016 22,3.96
21-11-2016 23,1.25
22-11-2016 0,2.02
22-11-2016 1,1.15
22-11-2016 2,1.59
22-11-2016 3,0.83
22-11-2016 4,0.97
22-11-2016 5,0.97
22-11-2016 6,1.73
22-11-2016 7,4.4
22-11-2016 8,4.75
22-11-2016 9,4.94
22-11-2016 10,4.15
22-11-2016 11,2.58
22-11-2016 12,2.77
22-11-2016 13,3.98
22-11-2016 14,3.45
22-11-2016 15,4.02
22-11-2016 16,2.66
22-11-2016 17,4.06
22-11-2016 18,2.92
22-11-2016 19,3.07
22-11-2016 20,2.19
22-11-2016 21,2.22
22-11-2016 22,1.63
22-11-2016 23,1.12
23-11-2016 0,0.36
23-11-2016 1,0.24
23-11-2016 2,0.89
23-11-2016 3,0.38
23-11-2016 4,0.54
23-11-2016 5,0.53
23-11-2016 6,1.28
23-11-2016 7,3.75
23-11-2016 8,3.94
23-11-2016 9,3.46
23-11-2016 10,3.32
23-11-2016 11,1.74
23-11-2016 12,3.2
23-11-2016 13,3.72
23-11-2016 14,1.57
23-11-2016 15,2.28
23-11-2016 16,2.5
23-11-2016 17,2.8
23-11-2016 18,4.18
23-11-2016 19,2.62
23-11-2016 20,2.9
23-11-2016 21,3.04
23-11-2016 22,2.43
23-11-2016 23,0.53
24-11-2016 0,1.19
24-11-2016 1,0.46
24-11-2016 2,1.47
24-11-2016 3,0.55
24-11-2016 4,0.53
24-11-2016 5,0.96
24-11-2016 6,0.81
24-11-2016 7,4.13
24-11-2016 8,4.38
24-11-2016 9,5.17
24-11-2016 10,2.87
24-11-2016 11,2.51
24-11-2016 12,3.28
24-11-2016 13,2.05
24-11-2016 14,3.23
24-11-2016 15,2.02
24-11-2016 16,2.4
24-11-2016 17,3.34
24-11-2016 18,2.26
24-11-2016 19,3.48
24-11-2016 20,2.51
24-11-2016 21,2.34
24-11-2016 22,2.45
24-11-2016 23,0.47
25-11-2016 0,1.12
25-11-2016 1,3.05
25-11-2016 2,1.01
25-11-2016 3,0.21
25-11-2016 4,0.7
25-11-2016 5,0.85
25-11-2016 6,0.43
25-11-2016 7,3.9
25-11-2016 8,5.22
25-11-2016 9,3.76
25-11-2016 10,2.79
25-11-2016 11,1.94
25-11-2016 12,3.87
25-11-2016 13,2.54
25-11-2016 14,3.46
25-11-2016 15,3.83
25-11-2016 16,2.62
25-11-2016 17,3.89
25-11-2016 18,2.95
25-11-2016 19,2.72
25-11-2016 20,2.07
25-11-2016 21,3.5
25-11-2016 22,1.24
25-11-2016 23,0.51
26-11-2016 0,1.67
26-11-2016 1,1.72
26-11-2016 2,1.02
26-11-2016 3,0.27
26-11-2016 4,0.45
26-11-2016 5,0.5
26-11-2016 6,1.19
26-11-2016 7,3.57
26-11-2016 8,3.92
26-11-2016 9,4.78
26-11-2016 10,3.42
26-11-2016 11,1.86
26-11-2016 12,4.81
26-11-2016 13,2.24
26-11-2016 14,2.78
26-11-2016 15,3.36
26-11-2016 16,2.63
26-11-2016 17,2.8
26-11-2016 18,4.84
26-11-2016 19,3.58
26-11-2016 20,3.77
26-11-2016 21,1.75
26-11-2016 22,1.38
26-11-2016 23,0.41
27-11-2016 0,1.18
27-11-2016 1,0.4
27-11-2016 2,1.16
27-11-2016 3,0.22
27-11-2016 4,0.44
27-11-2016 5,0.45
27-11-2016 6,1.23
27-11-2016 7,4.19
27-11-2016 8,4.29
27-11-2016 9,4.4
27-11-2016 10,4.33
27-11-2016 11,3.45
27-11-2016 12,3.63
27-11-2016 13,3.05
27-11-2016 14,2.96
27-11-2016 15,3.56
27-11-2016 16,3.74
27-11-2016 17,3.08
27-11-2016 18,2.49
27-11-2016 19,2.62
27-11-2016 20,1.89
27-11-2016 21,5.09
27-11-2016 22,3.23
27-11-2016 23,2.52
28-11-2016 0,0.7
28-11-2016 1,1.15
28-11-2016 2,0.48
28-11-2016 3,1.19
28-11-2016 4,0.89
28-11-2016 5,0.8
28-11-2016 6,0.8
28-11-2016 7,4.56
28-11-2016 8,5.45
28-11-2016 9,4.85
28-11-2016 10,4.37
28-11-2016 11,4.15
28-11-2016 12,3.52
28-11-2016 13,4.01
28-11-2016 14,2.87
28-11-2016 15,4
28-11-2016 16,2.34
28-11-2016 17,3.66
28-11-2016 18,3.91
28-11-2016 19,2.75
28-11-2016 20,3.93
28-11-2016 21,2.51
28-11-2016 22,3.79
28-11-2016 23,0.82
29-11-2016 0,1.3
29-11-2016 1,0.51
29-11-2016 2,0.51
29-11-2016 3,0.69
29-11-2016 4,1.66
29-11-2016 5,0.78
29-11-2016 6,0.8
29-11-2016 7,5.31
29-11-2016 8,4.77
29-11-2016 9,4.82
29-11-2016 10,3.79
29-11-2016 11,4.56
29-11-2016 12,3.2
29-11-2016 13,3.44
29-11-2016 14,2.65
29-11-2016 15,4.02
29-11-2016 16,2.56
29-11-2016 17,3.24
29-11-2016 18,4.27
29-11-2016 19,2.47
29-11-2016 20,3.37
29-11-2016 21,2.51
29-11-2016 22,2.79
29-11-2016 23,0.73
30-11-2016 0,1.27
30-11-2016 1,1.74
30-11-2016 2,0.41
30-11-2016 3,0.32
30-11-2016 4,1
30-11-2016 5,0.54
30-11-2016 6,0.6
30-11-2016 7,5.07
30-11-2016 8,4.37
30-11-2016 9,4.31
30-11-2016 10,3.03
30-11-2016 11,3.23
30-11-2016 12,3.17
30-11-2016 13,3.97
30-11-2016 14,4.33
30-11-2016 15,2.95
30-11-2016 16,3.56
30-11-2016 17,3.23
30-11-2016 18,3.92
30-11-2016 19,2.61
30-11-2016 20,2.67
30-11-2016 21,2.43
30-11-2016 22,1.72
30-11-2016 23,1.44
01-12-2016 0,0.79
01-12-2016 1,0.59
01-12-2016 2,0.94
01-12-2016 3,0.3
01-12-2016 4,0.27
01-12-2016 5,1.02
01-12-2016 6,0.48
01-12-2016 7,3.83
01-12-2016 8,5.33
01-12-2016 9,3.77
01-12-2016 10,2.78
01-12-2016 11,3.23
01-12-2016 12,2.63
01-12-2016 13,3.66
01-12-2016 14,3.28
01-12-2016 15,3.21
01-12-2016 16,2.18
01-12-2016 17,3.65
01-12-2016 18,2.22
01-12-2016 19,2.89
01-12-2016 20,2.51
01-12-2016 21,1.62
01-12-2016 22,2.42
01-12-2016 23,1.33
02-12-2016 0,0.41
02-12-2016 1,0.32
02-12-2016 2,1.02
02-12-2016 3,0.3
02-12-2016 4,0.46
02-12-2016 5,0.61
02-12-2016 6,1.43
02-12-2016 7,4.43
02-12-2016 8,5.32
02-12-2016 9,4.58
02-12-2016 10,3.9
02-12-2016 11,5.36
02-12-2016 12,5.24
02-12-2016 13,4
02-12-2016 14,4.72
02-12-2016 15,3.97
02-12-2016 16,4.16
02-12-2016 17,3.29
02-12-2016 18,2.36
02-12-2016 19,4.15
02-12-2016 20,3.86
02-12-2016 21,4.58
02-12-2016 22,2.37
02-12-2016 23,0.57
03-12-2016 0,1
03-12-2016 1,0.25
03-12-2016 2,0.54
03-12-2016 3,0.56
03-12-2016 4,1.41
03-12-2016 5,0.58
03-12-2016 6,0.56
03-12-2016 7,4.37
03-12-2016 8,5.02
03-12-2016 9,5.33
03-12-2016 10,5.16
03-12-2016 11,4.68
03-12-2016 12,5.9
03-12-2016 13,4.66
03-12-2016 14,3.55
03-12-2016 15,4.19
03-12-2016 16,4.47
03-12-2016 17,2.74
03-12-2016 18,3.77
03-12-2016 19,3.44
03-12-2016 20,4.23
03-12-2016 21,3.58
03-12-2016 22,4.33
03-12-2016 23,1.46
04-12-2016 0,0.71
04-12-2016 1,0.67
04-12-2016 2,1.53
04-12-2016 3,0.74
04-12-2016 4,0.96
04-12-2016 5,0.99
04-12-2016 6,0.99
04-12-2016 7,5.17
04-12-2016 8,5.31
04-12-2016 9,5.3
04-12-2016 10,3.92
04-12-2016 11,4.75
04-12-2016 12,3.36
04-12-2016 13,3.53
04-12-2016 14,2.77
04-12-2016 15,2.54
04-12-2016 16,1.67
04-12-2016 17,3.69
04-12-2016 18,3.97
04-12-2016 19,2.9
04-12-2016 20,2.75
04-12-2016 21,1.48
04-12-2016 22,1.94
04-12-2016 23,0.84
05-12-2016 0,1.16
05-12-2016 1,0.25
05-12-2016 2,0.91
05-12-2016 3,0.25
05-12-2016 4,0.45
05-12-2016 5,0.51
05-12-2016 6,1.29
05-12-2016 7,3.91
05-12-2016 8,5.03
05-12-2016 9,5.17
05-12-2016 10,4.47
05-12-2016 11,3.05
05-12-2016 12,3.85
05-12-2016 13,2.23
05-12-2016 14,2.31
05-12-2016 15,3.78
05-12-2016 16,3.75
05-12-2016 17,4.78
05-12-2016 18,2.67
05-12-2016 19,4.43
05-12-2016 20,1.89
05-12-2016 21,1.91
05-12-2016 22,2.21
05-12-2016 23,1.15
06-12-2016 0,1.33
06-12-2016 1,0.58
06-12-2016 2,0.28
06-12-2016 3,1.11
06-12-2016 4,0.5
06-12-2016 5,0.56
06-12-2016 6,0.58
06-12-2016 7,4.16
06-12-2016 8,5.56
06-12-2016 9,4.52
06-12-2016 10,3.35
06-12-2016 11,3.91
06-12-2016 12,4.32
06-12-2016 13,4.36
06-12-2016 14,3.72
06-12-2016 15,1.64
06-12-2016 16,3.42
06-12-2016 17,3.76
06-12-2016 18,2.48
06-12-2016 19,4.21
06-12-2016 20,3
06-12-2016 21,2.45
06-12-2016 22,3.32
06-12-2016 23,1.75
07-12-2016 0,1.26
07-12-2016 1,1.63
07-12-2016 2,0.6
07-12-2016 3,0.63
07-12-2016 4,1.58
07-12-2016 5,0.88
07-12-2016 6,0.97
07-12-2016 7,4.35
07-12-2016 8,5.71
07-12-2016 9,4.84
07-12-2016 10,4.26
07-12-2016 11,3.01
07-12-2016 12,3.39
07-12-2016 13,2.65
07-12-2016 14,3.9
07-12-2016 15,3.37
07-12-2016 16,2.13
07-12-2016 17,4.78
07-12-2016 18,2.07
07-12-2016 19,3.32
